createDate,taskName,mode,weaponName,map,version,accTotal,accB0,accB1,accB2,accB3,accB4,accB5,accB6,accB7,rtTotal,rtB0,rtB1,rtB2,rtB3,rtB4,rtB5,rtB6,rtB7,targetsTotal,shotsTotal,killsPerSec,killTotal
04/23/2022 13:24:53,gridshot,10,9mm,0,v0.96.5.3-3201,88.84462,86,93,85,91,100,75,100,88,265.389590549897,270.455874246264,244.159474210919,283.838612333257,273.215428670247,202.466479492187,303.451314290365,210.879020690918,258.961885724749,226,251,3.72266865,223,
04/23/2022 13:23:46,gridshot,10,9mm,0,v0.96.5.3-3201,85.31746,79,98,80,85,100,100,100,0,275.743460899176,297.287553948871,236.544077212994,290.184308242798,287.469159490412,262.597255706787,193.789985656738,190.814453125,0,218,252,3.58911,215,
04/23/2022 13:22:19,gridshot,10,9mm,0,v0.96.5.3-3201,88.18565,90,88,84,91,100,0,0,100,282.875904649068,291.596951039632,279.409810202462,296.186323983329,265.611173311869,211.056655883789,0,0,252.462600708008,212,237,3.4889524,209,
08/04/2021 20:14:46,gridshot,0,9mm,0,v0.96.5.3-3201,90.625,82,92,94,92,92,89,88,100,254.693100238668,288.663633191908,242.081961198287,240.597854015874,256.523755536761,229.331938310103,262.754901885986,279.830051967076,234.071929931641,235,256,3.872847,232,
08/03/2021 19:06:47,gridshot,0,9mm,0,v0.96.5.3-3201,90.43825,98,90,91,89,91,100,73,82,261.24088438597,251.656249306419,267.160339355469,252.67800617218,268.003563738884,233.927183532715,241.750775655111,319.751543045044,288.311611599392,230,251,3.78949952,227,
08/02/2021 23:46:52,gridshot,0,9mm,0,v0.96.5.3-3201,91.09312,96,96,92,83,88,100,100,83,262.626575690376,248.190106599227,270.295246340194,243.905226982964,282.971626807903,300.542548043387,232.900998433431,237.499546051025,278.050061035156,228,247,3.75603986,225,
08/01/2021 18:46:56,gridshot,0,9mm,0,v0.96.5.3-3201,93.77593,95,100,90,92,88,100,100,82,262.242690162321,261.803325794361,239.44951171875,280.547456492549,268.229711235894,263.126972743443,224.905853271484,292.775466918945,276.325258043077,229,241,3.77275133,226,
07/31/2021 17:43:28,gridshot,0,9mm,0,v0.96.5.3-3201,89.91935,91,92,91,85,100,100,75,100,265.054657392972,268.780799572284,263.120462832243,262.457877554545,274.888774525036,237.097692316229,220.493057250977,286.251874287923,248.858721415202,226,248,3.722701,223,
07/29/2021 18:39:40,gridshot,10,9mm,0,v0.96.5.3-3201,85.4700851,84,85,79,89,100,89,100,75,295.895683059692,295.465209311627,321.452579498291,322.008974479906,277.799202283224,235.467069625854,286.309059143066,220.29648399353,374.133331298828,203,234,3.33868933,200,
07/29/2021 10:49:29,gridshot,0,9mm,0,v0.96.5.3-3201,90.72581,89,89,92,93,100,100,83,78,262.379192030165,269.567807617188,273.153949169403,259.53888821072,258.563559638129,203.910990397135,233.685734340123,282.484878540039,293.117983136858,228,248,3.75613856,225,
07/28/2021 21:15:24,gridshot,0,9mm,0,v0.96.5.3-3201,90.07937,90,88,90,95,80,90,100,73,260.21852259699,267.560013382523,265.409396627675,255.212462383768,236.37566610483,278.346454620361,322.202587551541,234.484405517578,301.704147338867,230,252,3.78952718,227,
07/28/2021 05:42:21,gridshot,0,9mm,0,v0.96.5.3-3201,88.57143,82,91,87,89,92,100,100,100,272.652563209358,295.476605679126,267.200250292581,274.542977905273,271.988793397561,270.760878129439,255.296646118164,283.272888183594,212.458648681641,220,245,3.62257648,217,
07/27/2021 18:14:35,gridshot,0,9mm,0,v0.96.5.3-3201,86.30705,86,81,86,90,86,100,83,100,285.050383127653,295.039212908064,306.329549374788,282.794024149577,281.901487523859,264.373357137044,236.439573287964,266.534497070313,206.236471993583,210,241,3.47214317,208,
07/26/2021 19:09:36,gridshot,0,9mm,0,v0.96.5.3-3201,89.0688248,85,93,90,92,100,100,88,73,268.501745258678,284.675413676671,261.443899455824,263.710692342122,265.43500437635,197.475145612444,230.759210586548,280.403882707868,316.842577847568,223,247,3.67260122,220,
07/26/2021 18:40:29,gridshot,0,9mm,0,v0.96.5.3-3201,82.8,75,77,86,91,100,100,100,92,285.624149267224,309.314399719238,307.197247009277,272.413756259652,271.106815989425,212.039026896159,248.728813171387,211.836044311523,266.296908291903,210,250,3.45561647,207,
07/25/2021 22:40:46,gridshot,0,9mm,0,v0.96.5.3-3201,91.17647,90,90,98,88,100,100,100,88,272.436461136638,278.828326592079,278.188120035025,254.622686183199,281.146879546496,196.512138366699,196.610860188802,231.83561706543,295.834487915039,220,238,3.62255955,217,
07/25/2021 22:16:33,gridshot,0,9mm,0,v0.96.5.3-3201,81.49606,86,77,73,85,71,100,100,100,281.961450917709,273.72477935791,278.44023401597,312.506801771081,283.845187447288,293.085679626465,221.096946716309,212.69846089681,245.367672729492,210,254,3.45552349,207,
07/24/2021 22:17:12,gridshot,10,9mm,0,v0.96.5.3-3201,81.70731,86,87,80,79,57,100,78,71,294.276587566926,281.24771517799,288.488682072337,300.652840547783,305.993033669212,357.320381164551,231.696935017904,314.26420375279,321.445184326172,204,246,3.35541153,201,
07/09/2021 20:46:45,gridshot,10,9mm,0,v0.96.5.3-3201,78.48101,86,81,79,76,75,83,71,59,313.710875972625,283.650648207892,309.576457479726,322.320672937342,331.79545099595,336.630694071452,287.55422668457,239.527075195313,403.823197937012,189,237,3.10491037,186,
07/09/2021 20:31:07,gridshot,0,9mm,0,v0.96.5.3-3201,68.55895,59,61,68,80,100,86,100,73,376.386025009641,418.608867221408,429.639304421165,382.477448527018,315.744280728427,222.526927947998,313.652860005697,336.669782002767,339.475536346436,160,229,2.620897,157,
06/27/2021 12:28:38,gridshot,10,9mm,0,v0.96.5.3-3201,85.71429,87,86,81,83,94,100,83,100,273.96820753592,264.870203870408,285.156221298944,286.680515387119,284.451897099333,254.608552042643,226.488871765137,233.357693481445,267.877487182617,219,252,3.60576916,216,
06/27/2021 12:26:29,gridshot,10,9mm,0,v0.96.5.3-3201,84.45378,87,89,87,76,88,100,75,100,293.781047536366,281.002356487772,298.905844411542,300.893669976129,319.136454456257,230.160862513951,242.719942365374,347.418553670247,229.269041061401,204,238,3.35536051,201,
06/27/2021 12:25:14,gridshot,10,9mm,0,v0.96.5.3-3201,79.91631,80,73,75,84,100,100,100,100,309.241923467027,302.126382654363,344.72689587137,335.606037237705,278.291490709459,242.631355285645,288.372897338867,275.66420854841,204.85457611084,194,239,3.188407,191,
06/27/2021 12:22:44,gridshot,10,9mm,0,v0.96.5.3-3201,79.82833,81,78,78,78,100,75,100,80,319.250605429373,313.51871887207,322.437044508914,330.270259857178,323.28056678772,203.921718597412,349.493865966797,254.561088562012,404.280788421631,189,233,3.10506582,186,
06/27/2021 00:09:19,gridshot,10,9mm,0,v0.96.5.3-3201,80.55556,83,88,81,76,73,75,90,72,341.235665858477,325.758527867934,306.131765957536,327.737704031808,341.481965285081,403.052547454834,563.208023071289,310.971557617188,392.044258704552,177,216,2.90473771,174,
06/25/2021 17:24:22,gridshot,10,9mm,0,v0.96.5.3-3201,84.48276,83,88,87,87,83,75,100,56,302.559615777463,309.153486887614,302.678486592061,306.699380269865,284.218729871385,288.120455932617,302.462551540799,248.750615437826,450.458187866211,199,232,3.27203059,196,
06/25/2021 17:16:10,gridshot,10,9mm,0,v0.96.5.3-3201,76.6233749,81,63,76,81,100,69,92,75,333.293189355883,314.030728853666,400.019115871853,359.613619877742,309.864317113703,225.65140914917,404.38219028049,260.482223510742,292.367986043294,180,231,2.95481277,177,
06/24/2021 23:33:15,gridshot,10,9mm,0,v0.96.5.3-3201,82.9166641,90,78,80,90,64,83,67,92,296.739756675222,286.529353055087,311.819111001903,307.816772896903,271.221749623617,339.144938877651,329.428997802734,383.258331298828,240.031868674538,202,240,3.32201958,199,
05/28/2021 07:53:44,gridshot,0,9mm,0,v0.96.5.3-3201,86.05578,92,86,82,86,82,80,75,100,273.832436808833,251.521968012271,278.601777576265,284.320126740829,277.867280578613,282.379104614258,315.599449157715,329.464126586914,239.917514038086,219,251,3.60575676,216,
05/28/2021 07:46:46,gridshot,10,9mm,0,v0.96.5.3-3201,81.6,82,80,89,81,75,100,60,83,289.735201742135,288.5090234375,292.811221832925,259.82228127504,293.026484489441,291.583165486654,220.95344543457,372.276166280111,352.753930664063,207,250,3.40551138,204,
05/28/2021 07:45:40,gridshot,10,9mm,0,v0.96.5.3-3201,83.05785,91,77,84,83,88,75,80,86,292.291538750947,269.021564857633,335.090581465741,273.667269823028,281.17041406876,309.12102835519,301.734888712565,281.167098999023,244.436538696289,204,242,3.35536981,201,
05/28/2021 07:44:33,gridshot,10,9mm,0,v0.96.5.3-3201,86.1224442,87,86,88,81,83,90,83,100,279.642186892541,274.077216106912,274.136245727539,277.050368552984,318.115077092097,261.055464172363,258.382953219944,258.781701660156,231.85014851888,214,245,3.52202,211,
05/28/2021 07:42:07,gridshot,10,9mm,0,v0.96.5.3-3201,85.28139,88,84,80,89,88,100,92,73,299.920562434318,268.860702159793,305.751410550849,326.075484404693,278.10983748663,276.102260044643,269.568035888672,295.416405417702,370.687877655029,200,231,3.28859925,197,
05/28/2021 07:40:55,gridshot,10,9mm,0,v0.96.5.3-3201,78.2426758,74,80,75,83,100,88,100,69,316.26580284241,349.556783676148,302.212118784586,332.628130008013,296.862957201506,228.397152709961,242.0884878976,220.36701965332,377.959004720052,190,239,3.121566,187,
05/28/2021 07:39:41,gridshot,10,9mm,0,v0.96.5.3-3201,84.42623,90,80,81,84,100,100,100,75,286.289251271961,285.499778603608,304.084388292753,283.541486518328,276.491116910368,250.11843363444,186.349461873372,235.729049682617,366.323216756185,209,244,3.438912,206,
05/28/2021 07:38:11,gridshot,10,9mm,0,v0.96.5.3-3201,83.33333,86,86,79,84,73,80,100,83,310.43487701416,306.936396830791,293.385047912598,329.69612848191,308.623670477616,363.920850753784,338.093318939209,264.980812072754,274.604598999023,193,228,3.1717298,190,
05/28/2021 07:37:02,gridshot,10,9mm,0,v0.96.5.3-3201,66.66667,74,70,43,80,50,60,33,100,1490.29309539795,530.585472106934,455.448401314872,962.470692952474,5330.15782165527,581.983032226563,363.525802612305,844.684387207031,170.211212158203,43,60,0.667712152,40,
05/25/2021 17:19:55,gridshot,10,9mm,0,v0.96.5.3-3201,86.90476,82,96,90,81,86,77,100,100,269.172495524089,291.764212814032,244.403573741084,264.575688680013,287.926606551461,240.027681986491,315.907444763184,201.759651184082,224.919717788696,222,252,3.655932,219,
05/25/2021 17:18:48,gridshot,10,9mm,0,v0.96.5.3-3201,81.1245,83,90,85,67,86,77,60,89,292.501150452265,297.913560524965,268.237463378906,278.184684321565,347.657376263593,258.718205769857,293.437715148926,383.244450887044,253.001918792725,205,249,3.37200928,202,
05/25/2021 17:17:41,gridshot,10,9mm,0,v0.96.5.3-3201,79.11646,89,77,72,76,67,86,100,80,300.168672590691,264.284176190694,317.672495727539,334.689559936523,299.933847045898,315.359346389771,312.956001281738,227.152585347494,350.720809936523,200,249,3.28871584,197,
05/25/2021 17:16:35,gridshot,10,9mm,0,v0.96.5.3-3201,81.49606,84,79,82,85,80,67,67,83,286.025946759947,288.330206522128,298.643058375308,278.22875438017,267.685006348983,306.033903121948,327.442408243815,326.688466389974,281.118197631836,210,254,3.45554352,207,
05/25/2021 17:15:26,gridshot,10,9mm,0,v0.96.5.3-3201,79.91803,91,83,70,80,71,100,73,67,302.36521880321,268.688904171898,290.251617719542,337.933504581451,322.879861068726,292.168188476562,211.311940511068,321.850126266479,305.273010253906,198,244,3.255247,195,
05/25/2021 17:14:17,gridshot,10,9mm,0,v0.96.5.3-3201,76.95652,76,67,80,81,82,100,83,90,334.521109543278,403.961594372261,378.241048177083,298.411629147,276.137712366441,294.538699679905,260.00154876709,307.054858398437,260.76976691352,180,230,2.9547646,177,
05/25/2021 17:12:46,gridshot,10,9mm,0,v0.96.5.3-3201,79.0123444,72,78,84,82,86,86,60,67,305.435370365779,322.120208248015,337.382956368583,261.636253512636,297.101388436777,295.309946695964,263.952852884928,408.454027811686,384.947380065918,195,243,3.20517921,192,
05/17/2021 18:10:26,gridshot,0,9mm,0,v0.96.5.3-3201,79.11646,75,82,76,80,100,81,75,85,299.084116746932,323.694257152324,301.180054982503,306.908812604632,284.610980987549,202.839694213867,300.725217379056,349.808878580729,262.148072676225,200,249,3.28865051,197,
03/24/2021 15:47:35,gridshot,0,9mm,0,v0.96.5.3-3201,90.51724,92,90,91,95,100,90,57,83,279.998699442546,270.991231467507,277.314250864881,297.232052686738,263.919915276605,249.104804992676,274.841583251953,510.82527923584,260.992533874512,213,232,3.5055716,210,
03/21/2021 18:59:16,gridshot,0,9mm,0,v0.96.5.3-3201,83.73984,83,85,79,82,100,100,89,86,286.438651297856,286.096340942383,284.108428955078,309.82411465115,302.383029756092,210.25229535784,202.196374511719,259.948894500732,259.891813913981,209,246,3.43872428,206,
03/19/2021 13:16:15,gridshot,0,9mm,0,v0.96.5.3-3201,81.22449,77,75,87,86,100,56,89,88,297.034427585314,303.474138957698,328.580196562267,283.133541791867,282.658405848912,206.63425554548,448.297640991211,265.096405029297,262.642907278878,202,245,3.321987,199,
03/19/2021 02:18:32,gridshot,0,9mm,0,v0.96.5.3-3201,85.96491,84,82,96,82,88,88,86,73,296.566318044857,277.393204972551,317.347270117866,261.041542197174,329.978019156107,257.532632010324,264.606940133231,327.412709554036,379.311630249023,199,228,3.270821,196,
03/07/2021 22:36:13,gridshot,0,9mm,0,v0.96.5.3-3201,85.8333359,88,80,80,93,83,86,83,100,287.305582731673,282.039077758789,300.654766506619,319.848198867426,263.641572952271,271.59772644043,294.215677897135,290.593109130859,221.721653529576,209,240,3.43896341,206,
03/07/2021 22:35:05,gridshot,0,9mm,0,v0.96.5.3-3201,81.6666641,84,86,81,76,82,90,75,80,301.827757426671,307.639081629311,281.880169115568,291.501478649321,313.515559241885,298.072699652778,299.569549560547,348.704209645589,313.796918869019,199,240,3.27199388,196,
03/07/2021 22:33:52,gridshot,0,9mm,0,v0.96.5.3-3201,77.08333,76,70,73,85,75,83,89,75,320.264423927101,347.791749954224,326.005392259167,343.794767553156,295.937900196422,275.600138346354,347.877847290039,248.425786972046,294.753445943197,188,240,3.08834434,185,
03/07/2021 22:32:41,gridshot,0,9mm,0,v0.96.5.3-3201,81.42293,76,73,83,92,100,100,100,100,284.693792991268,311.780746459961,324.755542437236,258.043252832749,252.133507438328,245.55200958252,251.79292678833,229.149211338588,244.400245666504,209,253,3.438876,206,
03/05/2021 12:55:20,gridshot,0,9mm,0,v0.96.5.3-3201,86.95652,85,88,84,88,80,100,100,100,268.362762260437,272.314078354254,270.762607121872,283.492786183077,254.614915296766,302.352830886841,241.658386230469,225.890696207682,237.326334635417,223,253,3.67266,220,
03/04/2021 08:54:02,gridshot,0,9mm,0,v0.96.5.3-3201,84.716156,94,84,82,83,75,75,83,80,303.591260969025,271.21573041833,307.724072774251,307.136012077331,321.039598985152,320.040364583333,375.054545084635,299.424049377441,324.349853515625,197,229,3.23848581,194,
03/03/2021 12:15:01,gridshot,0,9mm,0,v0.96.5.3-3201,82.8451843,91,82,82,78,80,83,100,80,298.473131126828,276.031134033203,292.393466120181,283.392442284561,339.664789157444,315.382759094238,297.075216674805,201.749244689941,359.531209945679,201,239,3.305367,198,
03/02/2021 15:03:27,gridshot,0,9mm,0,v0.96.5.3-3201,87.90323,83,90,89,86,100,89,100,91,271.999227366316,303.818222357302,266.990741984049,263.365471048558,274.848483418309,235.129180908203,248.860265731812,228.001463148329,265.278526306152,221,248,3.63925219,218,
03/02/2021 15:01:48,gridshot,0,9mm,0,v0.96.5.3-3201,80.24691,73,72,93,85,89,100,100,77,303.891665649414,333.842808116566,346.170729927395,268.498176574707,277.525534605368,245.094181060791,236.459798177083,253.344947814941,291.215776062012,198,243,3.255336,195,
03/02/2021 15:00:36,gridshot,0,9mm,0,v0.96.5.3-3201,76.44628,75,80,76,78,86,71,83,50,320.900065076673,313.67605864696,282.1969871521,346.745963019294,323.155201039416,271.11336517334,345.643927001953,289.664004516602,519.809356689453,188,242,3.08841515,185,
03/02/2021 14:58:46,gridshot,0,9mm,0,v0.96.5.3-3201,87.95181,91,85,90,83,86,100,100,85,270.077727435387,258.351056025578,285.701702686066,265.244487847222,279.812077840169,246.409633636475,239.188448819247,233.956802368164,312.406842318448,222,249,3.65597868,219,
03/02/2021 14:57:05,gridshot,0,9mm,0,v0.96.5.3-3201,81.6666641,90,83,79,73,77,91,88,100,301.165383942273,278.637728304476,298.030512029474,309.053759319026,331.976218414307,303.788166809082,276.167877197266,290.920966012137,279.312337239583,199,240,3.271998,196,
03/02/2021 14:55:56,gridshot,0,9mm,0,v0.96.5.3-3201,82.15768,84,80,80,83,100,78,50,90,299.178805871443,302.080774943034,311.934272279131,309.798729138497,286.390637117274,246.511984931098,339.453772408622,408.018096923828,257.914286295573,201,241,3.30537,198,
03/02/2021 12:09:52,gridshot,0,9mm,0,v0.96.5.3-3201,84.77366,83,84,93,86,100,88,50,60,287.130861374938,295.478499502506,282.947138910708,263.399397629958,285.025721335898,269.993060302734,294.158706665039,443.804931640625,328.655141194661,209,243,3.43884468,206,
02/26/2021 17:51:58,gridshot,10,9mm,0,v0.96.5.3-3201,80.35714,78,82,79,78,89,100,100,67,327.777573055691,358.140982437134,331.616468024976,310.08349568135,342.4372823964,258.357297897339,265.3525390625,232.472078959147,385.326477050781,183,224,3.00461435,180,
02/26/2021 17:12:31,gridshot,10,9mm,0,v0.96.5.3-3201,86.05578,90,82,85,86,89,100,83,83,272.930653889974,270.672129217184,304.515561162209,282.752617812738,252.643020266578,238.468723297119,213.361528669085,295.288134765625,252.294055175781,219,251,3.605568,216,
02/26/2021 17:11:26,gridshot,10,9mm,0,v0.96.5.3-3201,84.83607,79,89,93,79,92,92,83,80,284.336646701979,309.142099062602,262.123213605183,256.847515571408,301.132787564906,258.423030506481,260.598704944957,356.897479248047,323.611873626709,210,244,3.45545959,207,
02/26/2021 17:10:17,gridshot,10,9mm,0,v0.96.5.3-3201,81.4655151,85,94,73,76,70,86,91,100,311.612037133918,286.581984357136,266.137847900391,336.761698867335,351.051212380149,350.476841517857,324.369043986003,266.952886962891,227.029314676921,192,232,3.15482426,189,
02/26/2021 17:09:06,gridshot,10,9mm,0,v0.96.5.3-3201,74.5833359,69,80,87,74,60,62,78,50,329.1674423644,353.778958204316,291.098848085146,290.088394165039,331.925676428753,425.223317464193,417.255911254883,335.024470738002,465.832598368327,182,240,2.98803782,179,
02/23/2021 12:27:14,gridshot,0,9mm,0,v0.96.5.3-3201,79.20354,82,73,69,86,100,100,100,93,328.184781292963,317.702474636502,346.804776578336,404.591172914247,281.711027083858,261.1923828125,217.03059387207,261.360722859701,274.489354814802,182,226,2.98793912,179,
12/29/2020 22:54:41,gridshot,10,9mm,0,v0.96.5.3-3201,78.26087,79,76,67,83,100,100,71,83,321.581249618531,323.292172023228,330.668712719067,371.068781698904,311.716872829861,214.580627441406,207.199574061802,380.205868530273,317.902774047852,183,230,3.00458646,180,
12/29/2020 11:33:04,gridshot,0,9mm,0,v0.96.5.3-3201,80.99173,80,75,92,80,100,64,71,79,299.351694924491,314.281691259267,308.815434382512,274.859345522794,300.218074451793,221.379427228655,377.051341465541,336.408728027344,289.067667180842,199,242,3.271639,196,
12/29/2020 11:31:53,gridshot,0,9mm,0,v0.96.5.3-3201,79.66805,82,81,88,80,100,67,67,44,305.175739129384,292.50487054563,300.256812095642,298.291909067254,285.294117320668,212.821621704102,359.349090576172,375.236312866211,549.295930862427,195,241,3.204988,192,
12/29/2020 11:30:28,gridshot,0,9mm,0,v0.96.5.3-3201,79.75206,76,81,78,85,77,80,100,83,305.194654632726,328.845474936745,297.580548825471,319.494434854259,280.589650647394,296.809887695313,294.182716369629,257.047103881836,281.693354797363,196,242,3.221598,193,
12/28/2020 11:19:01,gridshot,0,9mm,0,v0.96.5.3-3201,84.45378,81,86,86,84,86,71,100,89,293.191431036043,302.946273803711,279.083728913338,279.56413325557,312.764437507181,296.869771321615,359.734278869629,208.349308558873,242.01989364624,204,238,3.35516167,201,
12/28/2020 11:17:55,gridshot,0,9mm,0,v0.96.5.3-3201,86.72199,83,92,88,82,100,100,89,77,282.155956067537,285.718512980143,271.014987702065,290.497193739149,296.641265124809,225.280726114909,276.892883300781,288.666149139404,289.581295776367,212,241,3.488723,209,
12/27/2020 17:34:49,gridshot,10,9mm,0,v0.96.5.3-3201,83.46457,82,80,91,81,75,82,100,100,277.258274294295,290.929571068805,316.369042373285,240.327212142944,274.117766807819,294.155331929525,304.531192355686,207.901426042829,201.19856262207,215,254,3.53892422,212,
12/27/2020 17:33:38,gridshot,10,9mm,0,v0.96.5.3-3201,83.73984,84,86,82,75,100,100,100,100,285.773765193606,285.36243827388,272.764182798324,298.193126763238,323.635377966839,249.799140930176,213.944734053178,224.341052246094,226.805606842041,209,246,3.43867636,206,
12/27/2020 17:31:13,gridshot,10,9mm,0,v0.96.5.3-3201,86.1224442,90,80,84,86,88,83,100,100,279.250009473466,273.583564271318,299.846852744498,290.754646157319,267.925144889138,247.17296055385,275.179385375977,235.932562255859,227.44563293457,214,245,3.52216673,211,
